formula,pressure,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill,Tc
Y0.95Sc0.05Ba2Cu3O6.63,0,5,1.506,1.136642914,0.512039061,0.572911171,1.51,0.340087094,1.545647063,1.359770624,70.1468,52.10402771,41.17090737,44.35744823,121.328,21.56818686,1.428691672,1.300695026,5,6.316706255,3.286335345,3.013997104,9,3.137767221,1.414660908,0.993030068,1.762,2.495186065,0.900053332,1.043155701,2.55,1.800411718,1.491823151,0.840341793,7.867,10.3028593,2.985678415,3.572354368,8.4064,7.122717973,1.545032588,0.918583388,4,2.454473476,0.388568564,2.25,91.7
Y0.4Cd0.6Ba2Cu3O7,0,5,1.482,1.109076923,0.509407499,0.557054681,1.51,0.299692308,1.545206058,1.401060726,83.6378,52.33030769,41.75372764,45.3761411,121.328,18.39166154,1.459163313,1.403091597,6.8,6.723076923,4.06939799,3.105863895,10,3.138461538,1.419642412,1.125595738,1.828,2.543230769,0.880031818,1.018072247,2.55,1.814769231,1.502023798,0.86035043,8.35346,10.52403846,2.930989912,3.461423859,8.4064,7.141521538,1.551451934,0.949041896,4,2.8,0.416475973,0.9,91.7
Nd1Ba2Cu3O6.81,0,4,1.4825,1.131506635,0.570980516,0.573354478,1.51,0.208790008,1.305693506,1.336595389,90.2785,56.08799297,53.286235,50.04454253,128.243,12.9352701,1.178057411,1.328017906,6.25,6.546448087,3.191786334,2.837999969,9,2.8774395,1.248305585,1.051170233,1.8425,2.50167057,0.994494218,1.050299398,2.55,1.739765808,1.249086449,0.81540271,8.0203,10.29405628,3.374036829,3.636795549,8.4064,6.80829516,1.30476475,0.886668544,4,2.341920375,0.357739089,0,91.7
Y1Ba2Cu3H0.52O6.91,0,5,1.29,1.103961281,0.635515539,0.572229852,1.64,0.319061802,1.48263288,1.402981717,61.3572,49.5365041,49.46621066,44.46239313,136.319,20.41175279,1.217665555,1.296211406,4.6,6.104244229,3.611094017,3.097498067,10,3.048399106,1.317688301,1.011586429,1.93,2.50293373,0.887648579,1.023002764,2.55,1.68476545,1.506021813,0.936933136,9.27438,10.49829777,3.628013269,3.552888686,8.4064,6.543839985,1.533222641,1.046971293,5,2.308265078,0.37814101,2.25,91.7
Bi2Sr2Ca0.8Yb0.2Cu2O8.26,0,6,1.591666667,1.138636959,0.507129723,0.572284496,1.49,0.331821756,1.73422362,1.601539237,98.21283333,60.23046789,69.90867391,65.16738425,192.981,25.28817824,1.531762585,1.467307293,7,5.921363041,5.033222957,2.765468063,14,3.142857143,1.539845746,1.244728511,1.735,2.567129751,0.873226775,1.004823501,2.49,1.847601573,1.675532129,0.948855459,7.782066667,10.48759541,2.701376815,3.449076184,7.9232,7.289296592,1.738991248,1.024310761,4,2.621231979,0.289100896,0,91.65
Y1Ba2Cu3O7.1,0,4,1.48,1.120305344,0.56951734,0.570272386,1.51,0.219541985,1.305900596,1.333732658,76.4445,50.97640458,43.82350272,44.13006691,121.328,14.17923664,1.199538473,1.293049029,5.5,6.305343511,3.5,2.960021482,9,3.022900763,1.190608997,0.975090128,1.8625,2.528549618,0.980876521,1.039872366,2.55,1.77129771,1.255405013,0.806195263,8.193375,10.42048931,3.257336534,3.5629518,8.4064,6.906199237,1.313314552,0.882471815,4,2.366412214,0.375302663,2.25,91.65
Hg0.92Ba2.05Cu1.03O4.065,0,4,1.4275,1.230229386,0.545865139,0.635840197,1.51,0.388109113,1.308785667,1.264581376,104.3655,73.96794358,70.39262175,67.50522665,184.591,26.84245691,1.129460622,1.201414596,7.75,6.306261624,4.023369235,3.357469558,10,2.515809051,1.229710463,1.221510453,2.0575,2.430886547,0.908635653,1.083490214,2.55,1.507637942,1.287357885,0.914074279,9.248425,10.36605747,3.127285875,3.601942734,8.4064,5.877171048,1.328082569,1.008332313,4,2.417854929,0.305930342,0,91.6
Y0.85Ba1.95Ca0.2Cu4O8,0,5,1.578,1.104266667,0.545798498,0.54714696,1.51,0.325733333,1.541826004,1.385637656,69.1712,48.90329,41.8091268,41.74645935,121.328,17.31813667,1.419171451,1.323249409,4.8,6.59,3.42928564,3.020248334,9,3.173333333,1.378227563,0.955259364,1.69,2.5395,0.94271947,1.012674059,2.55,1.821333333,1.470447247,0.822851438,7.77734,10.434704,3.029939525,3.487701033,8.4064,7.181477333,1.541861023,0.902380218,4,2.723333333,0.413252403,1.577319588,91.6
Y1Re0.15Ba2Cu2.85O7.07,0,5,1.458,1.122394797,0.511288568,0.570867073,1.51,0.341293037,1.543689971,1.388685021,98.397,52.46442846,58.85616822,46.42170419,170.208,18.87704285,1.408851519,1.410614682,5.8,6.26013772,3.18747549,2.920988761,9,3.165263963,1.455885241,1.032806368,1.87,2.526457536,0.877450853,1.040146795,2.55,1.839005356,1.505114356,0.842028272,8.1214,10.41437888,2.917004395,3.562831208,8.4064,7.276583168,1.550378142,0.918346188,4,2.314460597,0.360462345,2.4375,91.5
Y0.962Ba1.987Ca0.05Cu4O8,0,5,1.578,1.103507567,0.545798498,0.546273398,1.51,0.345456364,1.541826004,1.345239583,69.1712,49.50838196,41.8091268,42.10670539,121.328,18.05886052,1.419171451,1.302780091,4.8,6.597773185,3.42928564,3.009977027,9,3.193546236,1.378227563,0.950478244,1.69,2.540974065,0.94271947,1.010735167,2.55,1.83145543,1.470447247,0.815005526,7.77734,10.4335456,3.029939525,3.48972936,8.4064,7.243092206,1.541861023,0.889110876,4,2.730982065,0.413924818,1.744860943,91.5
Y0.95Pr0.05Ba2Cu3O6.97,0,5,1.55,1.124996145,0.528280229,0.571342631,1.51,0.347625289,1.544116267,1.35970716,89.3372,51.52745798,46.9178683,44.49773822,124.909,20.63289129,1.444535309,1.331445672,5.4,6.316114109,3.136877428,2.968660933,9,3.205088666,1.449291473,0.99146164,1.716,2.519067078,0.924956215,1.041487198,2.55,1.844279106,1.479674808,0.819679348,7.6493,10.38556993,3.11002628,3.569932574,8.4064,7.297186353,1.535929535,0.897213539,4,2.386276022,0.377807617,2.164556962,91.5
Y0.975Ca0.025Ba2Cu3O6.95,0,5,1.578,1.125945946,0.545798498,0.57181025,1.51,0.350405405,1.541826004,1.350706418,69.1712,51.28728571,41.8091268,44.19507596,121.328,21.13143243,1.419171451,1.298200965,4.8,6.306949807,3.42928564,2.979399988,9,3.216216216,1.378227563,0.980875612,1.69,2.517567568,0.94271947,1.041787645,2.55,1.844247104,1.470447247,0.817406008,7.77734,10.38325039,3.029939525,3.567009688,8.4064,7.296754054,1.541861023,0.895882717,4,2.391891892,0.379247016,2.20754717,91.5
Nd1Ba2Cu3O6.93,0,4,1.4825,1.127130704,0.570980516,0.572475834,1.51,0.212977572,1.305693506,1.335662148,90.2785,55.71593735,53.286235,49.95988324,128.243,12.66673859,1.178057411,1.329485751,6.25,6.541376643,3.191786334,2.82528583,9,2.90641918,1.248305585,1.048304435,1.8425,2.510378964,0.994494218,1.049279027,2.55,1.755545244,1.249086449,0.808987651,8.0203,10.32490588,3.374036829,3.633885779,8.4064,6.871495205,1.30476475,0.880092049,4,2.320185615,0.354693781,0,91.5
